idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
47,Naïve,AND,2,5,8,6,85,4.0,3.0,0,0
47,OnlySelec,AND,2,5,8,6,85,4.0,0.0,0,0
47,ATGT,AND,2,4,6,7,69,4.0,0.0,0,1120
47,Espresso,AND,2,4,7,8,80,6.0,0.0,0,52
47,JBool,AND,2,4,7,8,80,8.0,0.0,0,1
48,Naïve,AND,3,5,9,8,99,6.0,4.0,0,0
48,OnlySelec,AND,3,5,9,8,101,6.0,1.0,0,0
48,ATGT,AND,3,5,9,8,101,6.0,1.0,0,1099
48,Espresso,AND,3,4,8,10,96,8.0,1.0,1,50
48,JBool,AND,3,4,8,10,96,9.0,1.0,0,0
49,Naïve,OR,3,5,12,13,135,14.0,2.0,0,0
49,OnlySelec,OR,3,5,9,8,99,7.0,1.0,0,29
49,ATGT,OR,3,5,8,6,92,5.0,1.0,0,1216
49,Espresso,OR,3,5,9,9,97,8.0,1.0,0,91
49,JBool,OR,3,5,7,6,72,4.0,1.0,0,26
50,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
50,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
50,ATGT,AND,4,5,9,8,94,6.0,1.0,0,1127
50,Espresso,AND,4,4,9,12,108,10.0,1.0,0,52
50,JBool,AND,4,4,9,12,108,11.0,1.0,0,1
51,Naïve,AND,3,5,9,9,103,7.0,4.0,0,0
51,OnlySelec,AND,3,5,9,9,105,7.0,0.0,0,0
51,ATGT,AND,3,4,7,10,82,10.0,0.0,0,1138
51,Espresso,AND,3,4,8,11,100,9.0,0.0,0,67
51,JBool,AND,3,4,8,10,99,10.0,0.0,0,1
52,Naïve,AND,2,5,8,8,87,6.0,3.0,0,0
52,OnlySelec,AND,2,5,8,8,87,6.0,1.0,0,0
52,ATGT,AND,2,5,8,8,87,6.0,1.0,1,1131
52,Espresso,AND,2,4,7,10,82,8.0,1.0,0,52
52,JBool,AND,2,4,7,8,80,8.0,1.0,0,1
53,Naïve,AND,2,5,8,6,82,4.0,3.0,0,0
53,OnlySelec,AND,2,5,8,6,82,4.0,1.0,0,0
53,ATGT,AND,2,5,8,6,82,4.0,1.0,0,1166
53,Espresso,AND,2,4,7,8,77,6.0,1.0,1,80
53,JBool,AND,2,4,7,8,77,8.0,1.0,0,1
54,Naïve,AND,3,5,9,8,92,6.0,4.0,0,0
54,OnlySelec,AND,3,5,9,8,94,6.0,1.0,0,0
54,ATGT,AND,3,5,9,8,94,6.0,1.0,0,1171
54,Espresso,AND,3,4,8,10,89,8.0,1.0,0,52
54,JBool,AND,3,4,8,10,89,10.0,1.0,0,1
55,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
55,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
55,ATGT,AND,4,5,9,8,104,6.0,1.0,0,1291
55,Espresso,AND,4,4,9,12,108,10.0,1.0,0,54
55,JBool,AND,4,4,9,12,108,12.0,1.0,0,1
56,Naïve,AND,4,5,10,8,107,6.0,5.0,0,0
56,OnlySelec,AND,4,5,10,8,111,6.0,1.0,0,0
56,ATGT,AND,4,5,9,7,100,5.0,1.0,1,1087
56,Espresso,AND,4,4,9,10,106,8.0,1.0,0,52
56,JBool,AND,4,4,9,10,106,10.0,1.0,0,0
57,Naïve,AND,2,5,8,8,97,6.0,3.0,0,0
57,OnlySelec,AND,2,5,8,8,97,6.0,0.0,1,0
57,ATGT,AND,2,4,6,9,74,9.0,0.0,0,1127
57,Espresso,AND,2,4,7,10,92,8.0,0.0,0,53
57,JBool,AND,2,4,7,8,90,8.0,0.0,0,0
58,Naïve,AND,4,5,10,11,110,9.0,5.0,0,0
58,OnlySelec,AND,4,5,10,11,114,9.0,1.0,0,0
58,ATGT,AND,4,5,9,9,95,7.0,1.0,0,1094
58,Espresso,AND,4,4,9,13,109,11.0,1.0,1,51
58,JBool,AND,4,4,9,11,107,11.0,1.0,0,0
59,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
59,OnlySelec,AND,2,5,8,7,86,5.0,1.0,0,0
59,ATGT,AND,2,5,8,7,86,5.0,1.0,0,1122
59,Espresso,AND,2,4,7,9,81,7.0,1.0,0,53
59,JBool,AND,2,4,7,9,81,9.0,1.0,0,0
60,Naïve,AND,3,5,9,10,104,8.0,4.0,0,0
60,OnlySelec,AND,3,5,9,10,106,8.0,0.0,0,0
60,ATGT,AND,3,5,9,10,106,8.0,0.0,0,1127
60,Espresso,AND,3,4,8,12,101,10.0,0.0,1,53
60,JBool,AND,3,4,8,9,98,9.0,0.0,0,1
61,Naïve,AND,2,5,8,8,87,6.0,3.0,0,0
61,OnlySelec,AND,2,5,8,8,87,6.0,0.0,0,0
61,ATGT,AND,2,4,6,9,74,8.0,0.0,0,1091
61,Espresso,AND,2,4,7,10,82,8.0,0.0,0,54
61,JBool,AND,2,4,7,8,80,8.0,0.0,0,1
62,Naïve,AND,2,5,8,7,96,5.0,3.0,0,0
62,OnlySelec,AND,2,5,8,7,96,5.0,0.0,0,0
62,ATGT,AND,2,5,8,7,96,5.0,0.0,0,1125
62,Espresso,AND,2,4,7,9,91,7.0,0.0,0,66
62,JBool,AND,2,4,7,9,91,9.0,0.0,0,1
63,Naïve,AND,2,5,8,7,96,5.0,3.0,0,0
63,OnlySelec,AND,2,5,8,7,96,5.0,0.0,2,0
63,ATGT,AND,2,3,4,5,55,5.0,-1.0,1,1088
63,Espresso,AND,2,4,7,9,91,7.0,0.0,0,52
63,JBool,AND,2,3,4,4,52,3.0,-1.0,0,1
64,Naïve,AND,3,5,9,8,99,6.0,4.0,0,0
64,OnlySelec,AND,3,5,9,8,101,6.0,1.0,0,0
64,ATGT,AND,3,5,9,8,101,6.0,1.0,0,1097
64,Espresso,AND,3,4,8,10,96,8.0,1.0,1,52
64,JBool,AND,3,4,8,10,96,10.0,1.0,0,1
65,Naïve,AND,3,5,9,9,103,7.0,4.0,0,0
65,OnlySelec,AND,3,5,9,9,105,7.0,1.0,0,0
65,ATGT,AND,3,5,9,9,105,7.0,1.0,0,1138
65,Espresso,AND,3,4,8,11,100,9.0,1.0,0,53
65,JBool,AND,3,4,8,10,99,10.0,1.0,0,1
66,Naïve,AND,3,5,9,7,101,5.0,4.0,0,0
66,OnlySelec,AND,3,5,9,7,103,5.0,1.0,1,0
66,ATGT,AND,3,5,9,7,103,5.0,1.0,0,1130
66,Espresso,AND,3,4,8,9,98,7.0,1.0,0,55
66,JBool,AND,3,4,8,9,98,9.0,1.0,0,0
