step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
135,Espresso,AND,2,0,0,0,0,-1,-1,45469844,51845137,0
136,Espresso,AND,2,0,0,0,0,-1,-1,42612434,53079445,0
137,Espresso,AND,2,0,0,0,0,-1,-1,41615086,52588318,0
138,Espresso,AND,2,0,0,0,0,-1,-1,42018372,54041172,0
139,Espresso,AND,2,0,0,0,0,-1,-1,35478867,51182855,0
140,Espresso,AND,3,0,0,0,0,-1,-1,51756390,52736833,0
141,Espresso,AND,2,0,0,0,0,-1,-1,33448251,53076124,0
142,Espresso,AND,2,0,0,0,0,-1,-1,42281293,54150143,0
143,Espresso,AND,2,0,0,0,0,-1,-1,73758999,53047749,0
144,Espresso,AND,3,0,0,0,0,-1,-1,48988330,54510867,0
145,Espresso,AND,2,0,0,0,0,-1,-1,42665863,52518286,0
146,Espresso,AND,2,0,0,0,0,-1,-1,42635978,51943241,0
147,Espresso,AND,2,0,0,0,0,-1,-1,43068846,53425981,0
148,Espresso,AND,2,0,0,0,0,-1,-1,42720801,51654663,0
149,Espresso,AND,4,0,0,0,0,-1,-1,54877627,53471562,0
150,Espresso,AND,4,0,0,0,0,-1,-1,54061699,52185032,0
151,Espresso,AND,2,0,0,0,0,-1,-1,39928893,53016657,0
152,Espresso,AND,2,0,0,0,0,-1,-1,39615864,53109027,0
153,Espresso,AND,2,0,0,0,0,-1,-1,41193387,52702421,0
154,Espresso,AND,3,0,0,0,0,-1,-1,48518937,53393681,0
155,Espresso,AND,2,0,0,0,0,-1,-1,54386802,52341697,0
156,Espresso,AND,4,0,0,0,0,-1,-1,62402405,52676763,0
157,Espresso,AND,4,0,0,0,0,-1,-1,60705647,51884077,0
158,Espresso,AND,4,0,0,0,0,-1,-1,62214950,52821958,0
159,Espresso,AND,4,0,0,0,0,-1,-1,62642686,65603635,0
160,Espresso,AND,2,0,0,0,0,-1,-1,55197298,53948199,0
161,Espresso,AND,2,0,0,0,0,-1,-1,56806516,53027524,0
162,Espresso,AND,2,0,0,0,0,-1,-1,46433081,52708156,0
163,Espresso,AND,2,0,0,0,0,-1,-1,48515919,52359205,0
164,Espresso,AND,2,0,0,0,0,-1,-1,47808055,52089644,0
165,Espresso,AND,2,0,0,0,0,-1,-1,45011319,53211358,0
166,Espresso,AND,2,0,0,0,0,-1,-1,46131824,52985264,0
167,Espresso,AND,2,0,0,0,0,-1,-1,51545691,53008206,0
168,Espresso,AND,2,0,0,0,0,-1,-1,48659906,52517380,0
169,Espresso,AND,2,0,0,0,0,-1,-1,66604302,53184190,0
170,Espresso,AND,7,0,0,0,0,-1,-1,132938440,53604078,0
171,Espresso,AND,2,0,0,0,0,-1,-1,45835700,52801431,0
172,Espresso,AND,2,0,0,0,0,-1,-1,45610511,52085419,0
173,Espresso,AND,2,0,0,0,0,-1,-1,45902109,53042618,0
174,Espresso,AND,2,0,0,0,0,-1,-1,45715257,51750051,0
175,Espresso,AND,2,0,0,0,0,-1,-1,47349831,54292018,0
176,Espresso,AND,2,0,0,0,0,-1,-1,47703913,53205019,0
177,Espresso,AND,2,0,0,0,0,-1,-1,62497491,52753737,0
178,Espresso,AND,6,0,0,0,0,-1,-1,122057577,52816826,0
179,Espresso,AND,2,0,0,0,0,-1,-1,46423723,51997878,0
180,Espresso,AND,2,0,0,0,0,-1,-1,46978543,53165173,0
181,Espresso,AND,2,0,0,0,0,-1,-1,62304602,52842182,0
182,Espresso,AND,2,0,0,0,0,-1,-1,62405122,53739613,0
183,Espresso,AND,2,0,0,0,0,-1,-1,64163459,52311512,0
184,Espresso,AND,2,0,0,0,0,-1,-1,62996164,53618869,0
185,Espresso,AND,2,0,0,0,0,-1,-1,63726063,52727174,0
186,Espresso,AND,2,0,0,0,0,-1,-1,51315070,53861565,0
187,Espresso,AND,2,0,0,0,0,-1,-1,40267582,51709602,0
188,Espresso,AND,2,0,0,0,0,-1,-1,51030718,51965881,0
189,Espresso,AND,2,0,0,0,0,-1,-1,40128725,52289476,0
190,Espresso,AND,2,0,0,0,0,-1,-1,49579071,53024204,0
191,Espresso,AND,2,0,0,0,0,-1,-1,40671470,52569300,0
192,Espresso,AND,2,0,0,0,0,-1,-1,50746365,53060125,0
193,Espresso,AND,2,0,0,0,0,-1,-1,41010158,53102990,0
194,Espresso,AND,2,0,0,0,0,-1,-1,40579403,52360111,0
