step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
228,Espresso,AND,2,0.0,-1203.0,1138,2495,32,99,131
229,Espresso,AND,2,0.0,-1201.0,1139,2497,36,102,138
230,Espresso,AND,2,0.0,-1199.0,1140,2499,32,100,132
231,Espresso,AND,2,0.0,-1197.0,1141,2501,75,102,177
232,Espresso,AND,2,0.0,-1195.0,1142,2503,37,101,138
233,Espresso,AND,2,0.0,-1193.0,1143,2505,31,101,132
234,Espresso,AND,2,0.0,-1191.0,1144,2507,34,100,134
235,Espresso,AND,2,0.0,-1189.0,1145,2509,69,100,169
236,Espresso,AND,2,0.0,-1187.0,1146,2511,53,116,169
237,Espresso,AND,2,0.0,-1185.0,1147,2513,49,114,163
238,Espresso,AND,2,0.0,-1183.0,1148,2515,32,113,145
239,Espresso,AND,2,0.0,-1181.0,1149,2517,37,116,153
240,Espresso,AND,2,0.0,-1179.0,1150,2519,67,101,168
241,Espresso,AND,2,0.0,-1177.0,1151,2521,31,100,131
242,Espresso,AND,2,0.0,-1175.0,1152,2523,32,136,168
243,Espresso,AND,2,0.0,-1173.0,1153,2525,31,116,147
244,Espresso,AND,2,0.0,-1171.0,1154,2527,38,100,138
245,Espresso,AND,2,0.0,-1169.0,1155,2529,38,116,154
246,Espresso,AND,2,0.0,-1167.0,1156,2531,37,116,153
247,Espresso,AND,2,0.0,-1165.0,1157,2533,38,100,138
248,Espresso,AND,2,0.0,-1163.0,1158,2535,37,108,145
249,Espresso,AND,2,0.0,-1161.0,1159,2537,63,137,200
250,Espresso,AND,2,0.0,-1159.0,1160,2539,54,100,154
251,Espresso,AND,2,0.0,-1157.0,1161,2541,38,100,138
252,Espresso,AND,2,0.0,-1155.0,1162,2543,32,99,131
253,Espresso,AND,2,0.0,-1153.0,1163,2545,31,116,147
254,Espresso,AND,2,0.0,-1151.0,1164,2547,36,148,184
255,Espresso,AND,2,0.0,-1149.0,1165,2549,36,89,131
256,Espresso,AND,2,0.0,-1147.0,1166,2551,31,101,132
257,Espresso,AND,2,0.0,-1145.0,1167,2553,55,99,154
258,Espresso,AND,2,0.0,-1143.0,1168,2555,51,101,152
259,Espresso,AND,20,0.0,-1123.0,1169,2575,189,101,297
260,Espresso,AND,2,0.0,-1121.0,1170,2577,38,100,138
261,Espresso,AND,2,0.0,-1119.0,1171,2579,38,100,138
262,Espresso,AND,2,0.0,-1117.0,1172,2581,31,100,131
263,Espresso,AND,2,0.0,-1115.0,1173,2583,31,100,131
264,Espresso,AND,2,0.0,-1113.0,1174,2585,32,99,131
265,Espresso,AND,2,0.0,-1111.0,1175,2587,37,101,138
266,Espresso,AND,2,0.0,-1109.0,1176,2589,101,100,201
267,Espresso,AND,2,0.0,-1107.0,1177,2591,85,100,185
268,Espresso,AND,2,0.0,-1105.0,1178,2593,84,132,216
269,Espresso,AND,2,0.0,-1103.0,1179,2595,79,121,200
270,Espresso,AND,2,0.0,-1101.0,1180,2597,62,100,162
271,Espresso,AND,2,0.0,-1099.0,1181,2599,69,100,169
272,Espresso,AND,2,0.0,-1097.0,1182,2601,38,132,170
273,Espresso,AND,2,0.0,-1095.0,1183,2603,33,105,138
274,Espresso,AND,2,0.0,-1093.0,1184,2605,31,115,146
275,Espresso,AND,2,0.0,-1091.0,1185,2607,37,101,138
276,Espresso,AND,2,0.0,-1089.0,1186,2609,31,116,147
277,Espresso,AND,2,0.0,-1087.0,1187,2611,46,101,147
278,Espresso,AND,2,0.0,-1085.0,1188,2613,38,99,137
279,Espresso,AND,2,0.0,-1083.0,1189,2615,32,116,148
280,Espresso,AND,2,0.0,-1081.0,1190,2617,31,100,131
281,Espresso,AND,2,0.0,-1079.0,1191,2619,53,163,216
282,Espresso,AND,2,0.0,-1077.0,1192,2621,31,100,131
283,Espresso,AND,2,0.0,-1075.0,1193,2623,37,101,138
284,Espresso,AND,2,0.0,-1073.0,1194,2625,32,100,132
285,Espresso,AND,2,0.0,-1071.0,1195,2627,19,100,119
286,Espresso,AND,2,0.0,-1069.0,1196,2629,31,100,131
287,Espresso,AND,2,0.0,-1067.0,1197,2631,78,138,216
288,Espresso,AND,2,0.0,-1065.0,1198,2633,69,100,169
289,Espresso,AND,2,0.0,-1063.0,1199,2635,84,116,200
290,Espresso,AND,2,0.0,-1061.0,1200,2637,36,117,153
291,Espresso,AND,2,0.0,-1059.0,1201,2639,22,116,138
292,Espresso,AND,2,0.0,-1057.0,1202,2641,32,122,154
293,Espresso,AND,2,0.0,-1055.0,1203,2643,31,100,131
294,Espresso,AND,2,0.0,-1053.0,1204,2645,22,116,138
295,Espresso,AND,2,0.0,-1051.0,1205,2647,31,100,131
296,Espresso,AND,2,0.0,-1049.0,1206,2649,37,116,153
297,Espresso,AND,2,0.0,-1047.0,1207,2651,22,116,138
298,Espresso,AND,2,0.0,-1045.0,1208,2653,31,101,132
299,Espresso,AND,2,0.0,-1043.0,1209,2655,51,100,151
300,Espresso,AND,2,0.0,-1041.0,1210,2657,38,100,138
301,Espresso,AND,2,0.0,-1039.0,1211,2659,90,93,183
302,Espresso,AND,2,0.0,-1037.0,1212,2661,69,100,169
303,Espresso,AND,2,0.0,-1035.0,1213,2663,47,85,132
304,Espresso,AND,2,0.0,-1033.0,1214,2665,47,116,164
305,Espresso,AND,2,0.0,-1031.0,1215,2667,37,101,138
306,Espresso,AND,2,0.0,-1029.0,1216,2669,31,100,131
307,Espresso,AND,2,0.0,-1027.0,1217,2671,31,100,131
308,Espresso,AND,2,0.0,-1025.0,1218,2673,69,100,169
309,Espresso,AND,2,0.0,-1023.0,1219,2675,47,99,146
310,Espresso,AND,2,0.0,-1021.0,1220,2677,32,100,132
311,Espresso,AND,2,0.0,-1019.0,1221,2679,47,106,153
312,Espresso,AND,2,0.0,-1017.0,1222,2681,31,98,129
313,Espresso,AND,2,0.0,-1015.0,1223,2683,30,100,130
314,Espresso,AND,2,0.0,-1013.0,1224,2685,47,100,147
315,Espresso,AND,2,0.0,-1011.0,1225,2687,31,116,147
316,Espresso,AND,5,0.0,-1006.0,1226,2692,85,131,216
317,Espresso,AND,2,0.0,-1004.0,1227,2694,47,132,179
318,Espresso,AND,2,0.0,-1002.0,1228,2696,38,146,184
319,Espresso,AND,2,0.0,-1000.0,1229,2698,31,116,147
320,Espresso,AND,2,0.0,-998.0,1230,2700,22,132,154
321,Espresso,AND,2,0.0,-996.0,1231,2702,23,115,138
322,Espresso,AND,2,0.0,-994.0,1232,2704,31,116,147
323,Espresso,AND,2,0.0,-992.0,1233,2706,32,101,133
324,Espresso,AND,2,0.0,-990.0,1234,2708,37,101,138
325,Espresso,AND,2,0.0,-988.0,1235,2710,31,162,193
326,Espresso,AND,2,0.0,-986.0,1236,2712,32,117,149
327,Espresso,AND,2,0.0,-984.0,1237,2714,31,132,163
328,Espresso,AND,2,0.0,-982.0,1238,2716,31,100,131
329,Espresso,AND,2,0.0,-980.0,1239,2718,20,100,120
330,Espresso,AND,2,0.0,-978.0,1240,2720,46,138,184
331,Espresso,AND,2,0.0,-976.0,1241,2722,47,100,147
332,Espresso,AND,2,0.0,-974.0,1242,2724,32,114,146
333,Espresso,AND,2,0.0,-972.0,1243,2726,47,100,147
334,Espresso,AND,2,0.0,-970.0,1244,2728,38,100,138
335,Espresso,AND,2,0.0,-968.0,1245,2730,32,100,132
336,Espresso,AND,2,0.0,-966.0,1246,2732,47,100,147
337,Espresso,AND,2,0.0,-964.0,1247,2734,32,116,148
338,Espresso,AND,2,0.0,-962.0,1248,2736,46,139,185
339,Espresso,AND,2,0.0,-960.0,1249,2738,47,100,147
340,Espresso,AND,2,0.0,-958.0,1250,2740,38,100,138
341,Espresso,AND,2,0.0,-956.0,1251,2742,32,97,131
342,Espresso,AND,2,0.0,-954.0,1252,2744,22,116,138
343,Espresso,AND,2,0.0,-952.0,1253,2746,31,100,131
344,Espresso,AND,2,0.0,-950.0,1254,2748,32,100,132
345,Espresso,AND,2,0.0,-948.0,1255,2750,37,100,137
346,Espresso,AND,2,0.0,-946.0,1256,2752,47,169,216
347,Espresso,AND,2,0.0,-944.0,1257,2754,35,102,137
348,Espresso,AND,2,0.0,-942.0,1258,2756,32,100,132
349,Espresso,AND,2,0.0,-940.0,1259,2758,37,116,153
350,Espresso,AND,2,0.0,-938.0,1260,2760,31,116,147
351,Espresso,AND,2,0.0,-936.0,1261,2762,37,100,137
352,Espresso,AND,2,0.0,-934.0,1262,2764,27,131,158
353,Espresso,AND,2,0.0,-932.0,1263,2766,69,100,169
354,Espresso,AND,2,0.0,-930.0,1264,2768,31,122,153
355,Espresso,AND,2,0.0,-928.0,1265,2770,46,101,147
356,Espresso,AND,2,0.0,-926.0,1266,2772,32,131,163
357,Espresso,AND,2,0.0,-924.0,1267,2774,47,100,147
358,Espresso,AND,2,0.0,-922.0,1268,2776,31,101,132
359,Espresso,AND,2,0.0,-920.0,1269,2778,47,100,147
360,Espresso,AND,2,0.0,-918.0,1270,2780,33,146,179
361,Espresso,AND,2,0.0,-916.0,1271,2782,34,90,124
362,Espresso,AND,2,0.0,-914.0,1272,2784,31,101,132
363,Espresso,AND,2,0.0,-912.0,1273,2786,34,100,134
364,Espresso,AND,2,0.0,-910.0,1274,2788,31,169,200
365,Espresso,AND,2,0.0,-908.0,1275,2790,35,100,135
366,Espresso,AND,2,0.0,-906.0,1276,2792,32,116,148
367,Espresso,AND,2,0.0,-904.0,1277,2794,32,119,151
368,Espresso,AND,2,0.0,-902.0,1278,2796,31,101,132
369,Espresso,AND,2,0.0,-900.0,1279,2798,38,100,138
370,Espresso,AND,2,0.0,-898.0,1280,2800,31,100,131
371,Espresso,AND,2,0.0,-896.0,1281,2802,38,100,138
372,Espresso,AND,2,0.0,-894.0,1282,2804,32,100,132
373,Espresso,AND,2,0.0,-892.0,1283,2806,21,101,122
374,Espresso,AND,2,0.0,-890.0,1284,2808,31,101,132
375,Espresso,AND,2,0.0,-888.0,1285,2810,31,132,163
376,Espresso,AND,2,0.0,-886.0,1286,2812,47,100,147
377,Espresso,AND,2,0.0,-884.0,1287,2814,20,116,136
378,Espresso,AND,2,0.0,-882.0,1288,2816,31,100,131
379,Espresso,AND,2,0.0,-880.0,1289,2818,31,101,132
380,Espresso,AND,2,0.0,-878.0,1290,2820,50,101,151
381,Espresso,AND,2,0.0,-876.0,1291,2822,47,116,163
382,Espresso,AND,2,0.0,-874.0,1292,2824,25,116,153
383,Espresso,AND,2,0.0,-872.0,1293,2826,53,101,154
384,Espresso,AND,2,0.0,-870.0,1294,2828,31,101,132
385,Espresso,AND,2,0.0,-868.0,1295,2830,31,100,131
386,Espresso,AND,2,0.0,-866.0,1296,2832,38,100,138
387,Espresso,AND,2,0.0,-864.0,1297,2834,63,100,163
388,Espresso,AND,2,0.0,-862.0,1298,2836,32,99,131
389,Espresso,AND,2,0.0,-860.0,1299,2838,31,101,132
390,Espresso,AND,2,0.0,-858.0,1300,2840,31,100,131
391,Espresso,AND,2,0.0,-856.0,1301,2842,31,100,131
392,Espresso,AND,2,0.0,-854.0,1302,2844,50,101,151
393,Espresso,AND,2,0.0,-852.0,1303,2846,54,100,154
394,Espresso,AND,2,0.0,-850.0,1304,2848,54,100,154
395,Espresso,AND,2,0.0,-848.0,1305,2850,84,116,200
396,Espresso,AND,2,0.0,-846.0,1306,2852,38,100,138
397,Espresso,AND,2,0.0,-844.0,1307,2854,47,100,147
398,Espresso,AND,2,0.0,-842.0,1308,2856,31,100,131
399,Espresso,AND,2,0.0,-840.0,1309,2858,31,117,148
400,Espresso,AND,2,0.0,-838.0,1310,2860,37,101,138
401,Espresso,AND,2,0.0,-836.0,1311,2862,115,101,216
402,Espresso,AND,2,0.0,-834.0,1312,2864,48,101,149
403,Espresso,AND,2,0.0,-832.0,1313,2866,47,100,147
404,Espresso,AND,2,0.0,-830.0,1314,2868,38,100,138
405,Espresso,AND,2,0.0,-828.0,1315,2870,47,100,147
406,Espresso,AND,2,0.0,-826.0,1316,2872,47,100,147
