idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
74,ATGT,OR,36,42,481,697,7098,608.0,368.0,0,15611
74,Espresso,OR,36,41,491,728,7230,638.0,368.0,0,1101
74,JBool,OR,36,41,1151,1808,16026,1986.0,368.0,0,654
75,Naïve,AND,37,42,133,157,1925,56.0,38.0,0,0
75,OnlySelec,AND,37,42,133,157,1923,56.0,33.0,15,0
75,ATGT,AND,37,42,132,155,1902,54.0,33.0,15,1303
75,Espresso,AND,37,42,133,158,1923,58.0,33.0,15,54
75,JBool,AND,37,42,133,158,1923,60.0,33.0,16,15
76,Naïve,OR,37,42,1280,2020,19435,1920.0,1104.0,0,0
76,OnlySelec,OR,37,42,503,760,7563,660.0,382.0,0,438
76,ATGT,OR,37,42,492,742,7417,643.0,382.0,0,15426
76,Espresso,OR,37,42,503,771,7539,671.0,382.0,0,1233
76,JBool,OR,37,42,1241,1885,17257,2134.0,382.0,0,701
77,Naïve,AND,38,42,134,167,1946,66.0,39.0,0,0
77,OnlySelec,AND,38,42,134,167,1944,66.0,34.0,25,0
77,ATGT,AND,38,42,133,165,1933,64.0,34.0,15,1417
77,Espresso,AND,38,42,134,168,1942,68.0,34.0,15,54
77,JBool,AND,38,42,134,168,1942,68.0,34.0,15,0
78,Naïve,OR,38,42,1312,2116,19469,2048.0,1131.0,0,0
78,OnlySelec,OR,38,42,286,415,4268,320.0,176.0,0,432
78,ATGT,OR,38,42,282,409,4197,314.0,176.0,0,7394
78,Espresso,OR,38,41,285,421,4255,325.0,176.0,0,917
78,JBool,OR,38,41,738,1090,10415,1209.0,176.0,0,533
79,Naïve,AND,39,42,135,163,1962,62.0,40.0,0,0
79,OnlySelec,AND,39,42,135,163,2036,62.0,36.0,33,0
79,ATGT,AND,39,42,135,163,2036,62.0,36.0,31,1456
79,Espresso,AND,39,41,134,165,2031,64.0,36.0,16,52
79,JBool,AND,39,41,134,165,2031,64.0,36.0,15,0
80,Naïve,OR,39,42,1344,1860,19407,1792.0,1161.0,0,0
80,OnlySelec,OR,39,42,603,815,8748,728.0,470.0,0,600
80,ATGT,OR,39,42,589,790,8514,706.0,470.0,0,19182
80,Espresso,OR,39,41,602,829,8715,741.0,470.0,0,1487
80,JBool,OR,39,41,1560,2493,22929,2695.0,470.0,0,933
81,Naïve,AND,40,42,136,164,1968,63.0,41.0,0,0
81,OnlySelec,AND,40,42,136,164,1966,63.0,36.0,17,0
81,ATGT,AND,40,42,135,163,1960,62.0,36.0,16,1519
81,Espresso,AND,40,42,136,165,1966,65.0,36.0,16,53
81,JBool,AND,40,42,136,165,1966,67.0,36.0,16,0
82,Naïve,OR,40,42,1376,2212,20369,2112.0,1188.0,0,0
82,OnlySelec,OR,40,42,176,232,2563,132.0,73.0,0,432
82,ATGT,OR,40,42,174,229,2536,129.0,73.0,0,3289
82,Espresso,OR,40,42,176,234,2559,134.0,73.0,0,538
82,JBool,OR,40,42,390,522,5110,535.0,73.0,0,485
84,Naïve,OR,41,42,1408,2084,20659,1984.0,1219.0,0,0
84,OnlySelec,OR,41,42,342,472,5059,372.0,227.0,0,423
84,ATGT,OR,41,42,336,464,4979,367.0,227.0,0,9422
84,Espresso,OR,41,41,341,479,5040,378.0,227.0,0,1061
84,JBool,OR,41,41,747,1074,10590,1204.0,227.0,0,716
