step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
147,onlySelection,OR,36,0.0,9676.0,84,9827,20,22,42
148,onlySelection,OR,35,0.0,9781.0,84,9932,19,26,45
149,onlySelection,OR,35,0.0,9886.0,84,10037,21,28,49
150,onlySelection,OR,35,0.0,9991.0,84,10142,20,27,47
151,onlySelection,OR,35,0.0,10096.0,84,10247,20,28,48
152,onlySelection,OR,35,0.0,10201.0,84,10352,19,30,50
153,onlySelection,OR,35,0.0,10306.0,84,10457,20,29,49
154,onlySelection,OR,35,0.0,10411.0,84,10562,20,30,50
155,onlySelection,OR,35,0.0,10516.0,84,10667,21,30,51
156,onlySelection,OR,35,0.0,10621.0,84,10772,31,33,65
157,onlySelection,OR,35,0.0,10726.0,84,10877,22,33,55
158,onlySelection,OR,35,0.0,10831.0,84,10982,30,32,62
159,onlySelection,OR,37,0.0,10868.0,84,11019,21,5,26
160,onlySelection,OR,35,0.0,10973.0,84,11124,21,32,53
161,onlySelection,OR,35,0.0,11078.0,84,11229,22,36,58
162,onlySelection,OR,37,0.0,11189.0,84,11340,22,35,57
163,onlySelection,OR,37,0.0,11226.0,84,11377,26,5,31
164,onlySelection,OR,35,0.0,11331.0,84,11482,36,38,74
165,onlySelection,OR,37,0.0,11442.0,84,11593,24,35,59
166,onlySelection,OR,37,0.0,11479.0,84,11630,21,6,27
167,onlySelection,OR,35,0.0,11584.0,84,11735,21,35,58
168,onlySelection,OR,37,0.0,11695.0,84,11846,23,36,59
169,onlySelection,OR,37,0.0,11732.0,84,11883,22,6,28
170,onlySelection,OR,37,0.0,11843.0,84,11994,27,63,90
171,onlySelection,OR,37,0.0,11880.0,84,12031,27,7,34
172,onlySelection,OR,37,0.0,11991.0,84,12142,34,41,75
173,onlySelection,OR,37,0.0,12028.0,84,12179,23,7,31
174,onlySelection,OR,37,0.0,12139.0,84,12290,23,39,62
175,onlySelection,OR,39,0.0,12178.0,84,12329,23,7,30
176,onlySelection,OR,39,0.0,12217.0,84,12368,23,7,30
177,onlySelection,OR,39,0.0,12256.0,84,12407,22,8,30
178,onlySelection,OR,39,0.0,12295.0,84,12446,29,7,37
179,onlySelection,OR,39,0.0,12334.0,84,12485,24,8,32
180,onlySelection,OR,39,0.0,12373.0,84,12524,23,9,32
181,onlySelection,OR,37,0.0,12410.0,84,12561,23,8,31
182,onlySelection,OR,35,0.0,12515.0,84,12666,24,41,65
183,onlySelection,OR,35,0.0,12620.0,84,12771,23,43,66
184,onlySelection,OR,35,0.0,12725.0,84,12876,24,43,67
185,onlySelection,OR,38,0.0,12801.0,84,12952,25,28,53
186,onlySelection,OR,36,0.0,12873.0,84,13024,24,27,52
187,onlySelection,OR,38,0.0,12949.0,84,13100,26,28,55
188,onlySelection,OR,36,0.0,13021.0,84,13172,26,29,55
189,onlySelection,OR,36,0.0,13093.0,84,13244,24,29,53
190,onlySelection,OR,36,0.0,13165.0,84,13316,25,29,54
191,onlySelection,OR,36,0.0,13237.0,84,13388,25,31,56
192,onlySelection,OR,36,0.0,13309.0,84,13460,31,31,62
193,onlySelection,OR,36,0.0,13381.0,84,13532,24,30,54
194,onlySelection,OR,36,0.0,13453.0,84,13604,24,31,55
195,onlySelection,OR,36,0.0,13525.0,84,13676,25,31,56
196,onlySelection,OR,36,0.0,13597.0,84,13748,26,32,58
197,onlySelection,OR,36,0.0,13669.0,84,13820,25,32,57
198,onlySelection,OR,38,0.0,13745.0,84,13896,25,32,57
199,onlySelection,OR,36,0.0,13817.0,84,13968,25,31,56
200,onlySelection,OR,36,0.0,13889.0,84,14040,30,34,64
201,onlySelection,OR,38,0.0,13965.0,84,14116,25,33,58
202,onlySelection,OR,36,0.0,14037.0,84,14188,27,31,58
203,onlySelection,OR,36,0.0,14109.0,84,14260,27,35,62
204,onlySelection,OR,38,0.0,14185.0,84,14336,26,36,62
205,onlySelection,OR,36,0.0,14257.0,84,14408,27,34,61
206,onlySelection,OR,36,0.0,14329.0,84,14480,26,35,61
207,onlySelection,OR,38,0.0,14405.0,84,14556,26,36,62
208,onlySelection,OR,36,0.0,14477.0,84,14628,26,33,60
209,onlySelection,OR,36,0.0,14549.0,84,14700,26,37,63
210,onlySelection,OR,36,0.0,14621.0,84,14772,26,38,64
211,onlySelection,OR,36,0.0,14693.0,84,14844,27,39,66
