idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
58,ATGT,AND,1,4,5,6,61,3.0,0.0,0,0
58,Espresso,AND,1,4,6,7,72,5.0,0.0,0,55
58,JBool,AND,1,4,5,6,61,5.0,0.0,0,0
58,QM,AND,1,4,6,9,74,8.0,0.0,0,32
59,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
59,OnlySelec,AND,2,5,8,7,86,5.0,0.0,0,0
59,ATGT,AND,2,4,4,5,45,4.0,-1.0,0,0
59,Espresso,AND,2,4,7,9,81,7.0,0.0,0,46
59,JBool,AND,2,4,4,4,42,3.0,-1.0,0,0
59,QM,AND,2,4,4,4,42,3.0,-1.0,0,16
60,Naïve,AND,2,5,8,7,93,5.0,3.0,0,0
60,OnlySelec,AND,2,5,8,7,93,5.0,0.0,0,0
60,ATGT,AND,2,4,6,8,80,8.0,0.0,0,0
60,Espresso,AND,2,4,7,9,88,7.0,0.0,0,53
60,JBool,AND,2,4,7,9,88,9.0,0.0,0,0
60,QM,AND,2,4,5,5,60,4.0,0.0,0,22
61,Naïve,AND,2,5,8,6,92,4.0,3.0,0,0
61,OnlySelec,AND,2,5,8,6,90,4.0,0.0,0,0
61,ATGT,AND,2,5,7,6,82,4.0,0.0,0,16
61,Espresso,AND,2,5,8,7,90,6.0,0.0,0,53
61,JBool,AND,2,5,8,7,90,6.0,0.0,0,0
61,QM,AND,2,4,5,3,57,2.0,-1.0,0,23
62,Naïve,AND,1,5,7,6,75,3.0,2.0,0,0
62,OnlySelec,AND,1,5,7,6,77,4.0,0.0,0,0
62,ATGT,AND,1,4,5,7,64,7.0,0.0,0,0
62,Espresso,AND,1,4,6,6,68,4.0,0.0,0,54
62,JBool,AND,1,4,5,5,60,5.0,0.0,0,0
62,QM,AND,1,4,6,6,68,4.0,0.0,0,25
63,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
63,OnlySelec,AND,2,5,8,7,86,5.0,0.0,0,0
63,ATGT,AND,2,5,8,7,86,5.0,0.0,0,16
63,Espresso,AND,2,4,7,9,81,7.0,0.0,0,50
63,JBool,AND,2,4,7,9,81,9.0,0.0,0,0
63,QM,AND,2,4,8,10,89,9.0,0.0,0,37
64,Naïve,AND,3,5,9,9,103,7.0,4.0,0,0
64,OnlySelec,AND,3,5,9,9,105,7.0,0.0,0,0
64,ATGT,AND,3,4,7,10,92,9.0,0.0,0,0
64,Espresso,AND,3,4,8,11,100,9.0,0.0,0,53
64,JBool,AND,3,4,8,10,99,10.0,0.0,0,0
64,QM,AND,3,3,4,4,52,3.0,-1.0,0,27
65,Naïve,AND,1,5,7,6,75,3.0,2.0,0,0
65,OnlySelec,AND,1,5,7,6,75,4.0,0.0,0,0
65,ATGT,AND,1,5,5,4,48,3.0,-1.0,0,0
65,Espresso,AND,1,5,7,5,73,4.0,0.0,0,67
65,JBool,AND,1,5,5,2,46,2.0,-2.0,0,0
65,QM,AND,1,5,5,2,46,2.0,-2.0,0,15
66,Naïve,AND,3,5,9,8,102,6.0,4.0,0,0
66,OnlySelec,AND,3,5,9,8,104,6.0,1.0,0,0
66,ATGT,AND,3,5,9,8,104,6.0,1.0,0,0
66,Espresso,AND,3,4,8,10,99,8.0,1.0,0,47
66,JBool,AND,3,4,8,10,99,10.0,1.0,0,0
66,QM,AND,3,4,6,8,70,6.0,1.0,16,20
67,Naïve,AND,2,5,8,7,96,5.0,3.0,0,0
67,OnlySelec,AND,2,5,8,7,96,5.0,0.0,0,0
67,ATGT,AND,2,3,4,5,55,5.0,-1.0,0,0
67,Espresso,AND,2,4,7,9,91,7.0,0.0,0,53
67,JBool,AND,2,3,4,4,52,3.0,-1.0,0,0
67,QM,AND,2,3,4,4,52,3.0,-1.0,0,16
68,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
68,OnlySelec,AND,2,5,8,7,86,5.0,1.0,0,0
68,ATGT,AND,2,5,8,7,86,5.0,1.0,16,0
68,Espresso,AND,2,4,7,9,81,7.0,1.0,0,54
68,JBool,AND,2,4,7,9,81,9.0,1.0,0,0
68,QM,AND,2,4,8,11,93,11.0,1.0,0,25
69,Naïve,AND,1,5,7,5,84,2.0,2.0,0,0
69,OnlySelec,AND,1,5,7,5,84,3.0,0.0,0,0
69,ATGT,AND,1,2,3,3,43,4.0,-2.0,0,0
69,Espresso,AND,1,4,6,7,79,5.0,0.0,0,53
69,JBool,AND,1,2,3,3,43,4.0,-2.0,0,0
69,QM,AND,1,2,3,3,43,4.0,-2.0,0,19
70,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
70,OnlySelec,AND,2,5,8,7,86,5.0,1.0,0,0
70,ATGT,AND,2,5,8,7,86,5.0,1.0,0,0
70,Espresso,AND,2,4,7,9,81,7.0,1.0,0,53
70,JBool,AND,2,4,7,9,81,9.0,1.0,0,0
70,QM,AND,2,4,7,10,79,9.0,1.0,0,28
71,Naïve,AND,2,5,8,8,84,6.0,3.0,0,0
71,OnlySelec,AND,2,5,8,8,84,6.0,1.0,0,0
71,ATGT,AND,2,5,8,8,84,6.0,1.0,0,0
71,Espresso,AND,2,4,7,10,79,8.0,1.0,0,47
71,JBool,AND,2,4,7,8,77,9.0,1.0,0,0
71,QM,AND,2,4,8,9,85,8.0,1.0,0,22
