step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
215,Espresso,AND,2,0.0,-1519.0,1024,2179,51,101,152
216,Espresso,AND,2,0.0,-1517.0,1025,2181,46,101,147
217,Espresso,AND,2,0.0,-1515.0,1026,2183,35,96,131
218,Espresso,AND,2,0.0,-1513.0,1027,2185,31,102,133
219,Espresso,AND,2,0.0,-1511.0,1028,2187,40,100,140
220,Espresso,AND,2,0.0,-1509.0,1029,2189,31,101,132
221,Espresso,AND,2,0.0,-1507.0,1030,2191,39,100,139
222,Espresso,AND,2,0.0,-1505.0,1031,2193,31,101,132
223,Espresso,AND,2,0.0,-1503.0,1032,2195,45,94,139
224,Espresso,AND,2,0.0,-1501.0,1033,2197,38,115,153
225,Espresso,AND,2,0.0,-1499.0,1034,2199,54,100,154
226,Espresso,AND,2,0.0,-1497.0,1035,2201,47,102,149
227,Espresso,AND,2,0.0,-1495.0,1036,2203,32,106,138
228,Espresso,AND,2,0.0,-1493.0,1037,2205,38,99,137
229,Espresso,AND,2,0.0,-1491.0,1038,2207,31,100,131
230,Espresso,AND,2,0.0,-1489.0,1039,2209,29,100,129
231,Espresso,AND,2,0.0,-1487.0,1040,2211,31,100,131
232,Espresso,AND,2,0.0,-1485.0,1041,2213,44,85,129
233,Espresso,AND,2,0.0,-1483.0,1042,2215,31,114,145
234,Espresso,AND,2,0.0,-1481.0,1043,2217,27,111,138
235,Espresso,AND,3,0.0,-1478.0,1044,2220,46,98,144
236,Espresso,AND,2,0.0,-1476.0,1045,2222,41,97,138
237,Espresso,AND,2,0.0,-1474.0,1046,2224,31,137,168
238,Espresso,AND,2,0.0,-1472.0,1047,2226,35,124,159
239,Espresso,AND,3,0.0,-1469.0,1048,2229,32,100,132
240,Espresso,AND,2,0.0,-1467.0,1049,2231,31,102,133
241,Espresso,AND,2,0.0,-1465.0,1050,2233,31,100,131
242,Espresso,AND,2,0.0,-1463.0,1051,2235,32,91,123
243,Espresso,AND,4,0.0,-1459.0,1052,2239,47,115,162
244,Espresso,AND,4,0.0,-1455.0,1053,2243,51,96,147
245,Espresso,AND,2,0.0,-1453.0,1054,2245,33,100,133
246,Espresso,AND,2,0.0,-1451.0,1055,2247,49,95,144
247,Espresso,AND,7,0.0,-1444.0,1056,2254,84,101,185
248,Espresso,AND,2,0.0,-1442.0,1057,2256,47,92,139
249,Espresso,AND,3,0.0,-1439.0,1058,2259,47,132,179
250,Espresso,AND,4,0.0,-1435.0,1059,2263,53,131,184
251,Espresso,AND,4,0.0,-1431.0,1060,2267,53,118,171
252,Espresso,AND,4,0.0,-1427.0,1061,2271,49,100,149
253,Espresso,AND,4,0.0,-1423.0,1062,2275,69,100,169
254,Espresso,AND,10,0.0,-1413.0,1063,2285,169,116,285
255,Espresso,AND,10,0.0,-1403.0,1064,2295,166,119,285
256,Espresso,AND,10,0.0,-1393.0,1065,2305,182,85,267
257,Espresso,AND,10,0.0,-1383.0,1066,2315,162,101,263
258,Espresso,AND,10,0.0,-1373.0,1067,2325,175,85,260
259,Espresso,AND,10,0.0,-1363.0,1068,2335,161,101,262
260,Espresso,AND,10,0.0,-1353.0,1069,2345,170,98,268
261,Espresso,AND,10,0.0,-1343.0,1070,2355,169,100,269
262,Espresso,AND,2,0.0,-1341.0,1071,2357,33,99,132
263,Espresso,AND,2,0.0,-1339.0,1072,2359,47,100,147
264,Espresso,AND,7,0.0,-1332.0,1073,2366,69,101,170
265,Espresso,AND,2,0.0,-1330.0,1074,2368,69,100,169
266,Espresso,AND,2,0.0,-1328.0,1075,2370,58,100,158
267,Espresso,AND,2,0.0,-1326.0,1076,2372,46,101,147
268,Espresso,AND,2,0.0,-1324.0,1077,2374,26,101,127
269,Espresso,AND,3,0.0,-1321.0,1078,2377,38,94,132
270,Espresso,AND,2,0.0,-1319.0,1079,2379,34,108,142
271,Espresso,AND,2,0.0,-1317.0,1080,2381,47,100,147
272,Espresso,AND,2,0.0,-1315.0,1081,2383,61,140,201
273,Espresso,AND,20,0.0,-1295.0,1082,2403,165,92,257
274,Espresso,AND,2,0.0,-1293.0,1083,2405,37,101,138
275,Espresso,AND,7,0.0,-1286.0,1084,2412,104,96,200
276,Espresso,AND,2,0.0,-1284.0,1085,2414,33,100,133
277,Espresso,AND,2,0.0,-1282.0,1086,2416,46,92,138
278,Espresso,AND,2,0.0,-1280.0,1087,2418,53,100,153
279,Espresso,AND,2,0.0,-1278.0,1088,2420,38,99,137
280,Espresso,AND,20,0.0,-1258.0,1089,2440,168,101,269
281,Espresso,AND,2,0.0,-1256.0,1090,2442,31,98,129
282,Espresso,AND,2,0.0,-1254.0,1091,2444,31,100,131
283,Espresso,AND,2,0.0,-1252.0,1092,2446,55,131,186
284,Espresso,AND,2,0.0,-1250.0,1093,2448,47,97,144
285,Espresso,AND,2,0.0,-1248.0,1094,2450,20,100,120
286,Espresso,AND,2,0.0,-1246.0,1095,2452,37,132,169
287,Espresso,AND,2,0.0,-1244.0,1096,2454,32,120,152
288,Espresso,AND,2,0.0,-1242.0,1097,2456,31,100,131
289,Espresso,AND,2,0.0,-1240.0,1098,2458,18,112,130
290,Espresso,AND,2,0.0,-1238.0,1099,2460,63,100,163
291,Espresso,AND,3,0.0,-1235.0,1100,2463,34,116,150
292,Espresso,AND,3,0.0,-1232.0,1101,2466,38,100,138
293,Espresso,AND,2,0.0,-1230.0,1102,2468,38,100,138
294,Espresso,AND,2,0.0,-1228.0,1103,2470,49,100,149
295,Espresso,AND,2,0.0,-1226.0,1104,2472,31,99,130
296,Espresso,AND,2,0.0,-1224.0,1105,2474,31,100,131
297,Espresso,AND,2,0.0,-1222.0,1106,2476,67,98,165
298,Espresso,AND,2,0.0,-1220.0,1107,2478,51,102,153
299,Espresso,AND,2,0.0,-1218.0,1108,2480,46,100,146
300,Espresso,AND,2,0.0,-1216.0,1109,2482,37,101,138
301,Espresso,AND,2,0.0,-1214.0,1110,2484,48,95,143
302,Espresso,AND,2,0.0,-1212.0,1111,2486,85,100,185
303,Espresso,AND,2,0.0,-1210.0,1112,2488,33,100,133
304,Espresso,AND,2,0.0,-1208.0,1113,2490,52,99,151
305,Espresso,AND,2,0.0,-1206.0,1114,2492,40,98,138
306,Espresso,AND,2,0.0,-1204.0,1115,2494,38,100,138
307,Espresso,AND,2,0.0,-1202.0,1116,2496,34,114,148
308,Espresso,AND,2,0.0,-1200.0,1117,2498,47,96,143
309,Espresso,AND,2,0.0,-1198.0,1118,2500,32,100,132
310,Espresso,AND,2,0.0,-1196.0,1119,2502,32,100,132
311,Espresso,AND,2,0.0,-1194.0,1120,2504,37,103,140
312,Espresso,AND,2,0.0,-1192.0,1121,2506,40,100,140
313,Espresso,AND,2,0.0,-1190.0,1122,2508,42,101,143
314,Espresso,AND,2,0.0,-1188.0,1123,2510,31,103,134
315,Espresso,AND,2,0.0,-1186.0,1124,2512,49,98,147
316,Espresso,AND,2,0.0,-1184.0,1125,2514,31,100,131
317,Espresso,AND,2,0.0,-1182.0,1126,2516,45,93,138
318,Espresso,AND,2,0.0,-1180.0,1127,2518,31,100,131
319,Espresso,AND,2,0.0,-1178.0,1128,2520,31,86,117
320,Espresso,AND,2,0.0,-1176.0,1129,2522,31,94,125
321,Espresso,AND,2,0.0,-1174.0,1130,2524,107,93,200
322,Espresso,AND,2,0.0,-1172.0,1131,2526,31,154,185
323,Espresso,AND,2,0.0,-1170.0,1132,2528,77,101,178
324,Espresso,AND,2,0.0,-1168.0,1133,2530,84,106,190
325,Espresso,AND,2,0.0,-1166.0,1134,2532,69,100,169
326,Espresso,AND,6,0.0,-1160.0,1135,2538,177,86,263
